"Year","State","Natural_Increase","Net_Overseas_Migration","Net_Interstate_Migration"
1999,"Victoria",28081,24846,3883
1999,"Western Australia",14249,13992,-1476
2000,"Australian Capital Territory",2888,351,-218
2000,"New South Wales",42355,47345,-14708
2000,"Northern Territory",2783,700,-1621
2000,"Queensland",25102,15917,20367
2000,"South Australia",5808,2726,-3669
2000,"Tasmania",2098,-8,-2533
2000,"Victoria",26749,29463,4920
2000,"Western Australia",14013,14965,-2501
2001,"Australian Capital Territory",2475,835,353
2001,"New South Wales",40135,57190,-19522
2001,"Northern Territory",2929,796,-1751
2001,"Queensland",25398,27523,22677
2001,"South Australia",5474,3310,-1552
2001,"Tasmania",1928,529,-1844
2001,"Victoria",27131,29562,5104
2001,"Western Australia",13468,16347,-3437
2002,"Australian Capital Territory",2668,774,-378
2002,"New South Wales",39853,40892,-31074
2002,"Northern Territory",2853,408,-2440
2002,"Queensland",23801,27933,37437
2002,"South Australia",5597,2669,-1228
2002,"Tasmania",1973,525,-22
2002,"Victoria",27340,23629,1144
2002,"Western Australia",12919,13658,-3403
2003,"Australian Capital Territory",2688,729,-1814
2003,"New South Wales",39965,35393,-31946
2003,"Northern Territory",2884,564,-2283
2003,"Queensland",25742,25060,36353
2003,"South Australia",5490,4244,-1652
2003,"Tasmania",1791,860,3137
2003,"Victoria",27883,26569,-2221
2003,"Western Australia",12480,16719,459
2004,"Australian Capital Territory",2698,301,-1131
2004,"New South Wales",38938,31669,-27928
2004,"Northern Territory",2645,922,-482
2004,"Queensland",25098,25754,32352
2004,"South Australia",5311,5071,-3519
2004,"Tasmania",1817,927,1011
2004,"Victoria",28744,27808,-2583
2004,"Western Australia",13868,13974,2312
2005,"Australian Capital Territory",2803,674,470
2005,"New South Wales",44607,37580,-26484
2005,"Northern Territory",2659,1087,726
2005,"Queensland",30070,32177,29141
2005,"South Australia",6067,8735,-3366
2005,"Tasmania",2396,1042,306
2005,"Victoria",30543,35809,-3571
2005,"Western Australia",14985,19920,2818
2006,"Australian Capital Territory",3024,1031,751
2006,"New South Wales",44731,55011,-25545
2006,"Northern Territory",2770,1520,-331
2006,"Queensland",30915,36253,24153
2006,"South Australia",6450,12311,-2593
2006,"Tasmania",2685,1284,-485
2006,"Victoria",32758,48578,-613
2006,"Western Australia",16447,26203,4613
2007,"Australian Capital Territory",3035,1877,892
2007,"New South Wales",50199,76897,-22914
2007,"Northern Territory",2870,1377,1077
2007,"Queensland",34528,47681,21953
2007,"South Australia",7337,13829,-3664
2007,"Tasmania",2453,1469,212
2007,"Victoria",35395,66472,-2558
