"Quarter","Year","State","Natural_Increase","Net_Overseas_Migration","Net_Interstate_Migration"
"Sep",1999,"South Australia",1419,1018,-326
"Sep",1999,"Western Australia",3159,5502,-448
"Sep",1999,"Tasmania",512,179,-600
"Sep",1999,"Northern Territory",637,429,-364
"Sep",1999,"Australian Capital Territory",695,-115,-26
"Dec",1999,"New South Wales",10369,10763,-4295
"Dec",1999,"Victoria",6997,5122,1918
"Dec",1999,"Queensland",5843,5497,4572
"Dec",1999,"South Australia",1611,1528,-943
"Dec",1999,"Western Australia",3547,1570,-767
"Dec",1999,"Tasmania",518,228,-686
"Dec",1999,"Northern Territory",599,173,83
"Dec",1999,"Australian Capital Territory",622,-264,130
"Mar",2000,"New South Wales",11374,14023,-3580
"Mar",2000,"Victoria",7277,11255,1529
"Mar",2000,"Queensland",7000,5258,5133
"Mar",2000,"South Australia",1828,1213,-1425
"Mar",2000,"Western Australia",3791,5113,-674
"Mar",2000,"Tasmania",569,84,-687
"Mar",2000,"Northern Territory",744,178,-472
"Mar",2000,"Australian Capital Territory",686,304,189
"Jun",2000,"New South Wales",10483,7645,-3429
"Jun",2000,"Victoria",6449,3061,1083
"Jun",2000,"Queensland",6035,2856,4691
"Jun",2000,"South Australia",1448,70,-837
"Jun",2000,"Western Australia",3332,1808,-298
"Jun",2000,"Tasmania",490,-56,-659
"Jun",2000,"Northern Territory",742,162,-154
"Jun",2000,"Australian Capital Territory",793,-24,-384
"Sep",2000,"New South Wales",9137,13329,-3427
"Sep",2000,"Victoria",6241,8744,1226
"Sep",2000,"Queensland",6012,4421,4653
"Sep",2000,"South Australia",1147,877,-618
"Sep",2000,"Western Australia",3538,4098,-660
"Sep",2000,"Tasmania",476,-48,-649
"Sep",2000,"Northern Territory",643,279,-374
"Sep",2000,"Australian Capital Territory",662,204,-145
"Dec",2000,"New South Wales",11361,12348,-4272
"Dec",2000,"Victoria",6782,6403,1082
"Dec",2000,"Queensland",6055,3382,5890
"Dec",2000,"South Australia",1385,566,-789
"Dec",2000,"Western Australia",3352,3946,-869
"Dec",2000,"Tasmania",563,12,-538
"Dec",2000,"Northern Territory",654,81,-621
"Dec",2000,"Australian Capital Territory",747,-133,122
"Mar",2001,"New South Wales",10883,22036,-4182
"Mar",2001,"Victoria",6832,15900,1986
"Mar",2001,"Queensland",6724,8873,4301
"Mar",2001,"South Australia",1691,1276,-821
"Mar",2001,"Western Australia",3705,5715,-669
"Mar",2001,"Tasmania",589,129,-393
"Mar",2001,"Northern Territory",763,240,-374
"Mar",2001,"Australian Capital Territory",692,611,158
"Jun",2001,"New South Wales",10020,10906,-4434
"Jun",2001,"Victoria",6581,4289,869
"Jun",2001,"Queensland",6597,4327,5180
"Jun",2001,"South Australia",1272,46,-190
"Jun",2001,"Western Australia",3371,2504,-912
"Jun",2001,"Tasmania",419,8,-556
"Jun",2001,"Northern Territory",792,278,-223
"Jun",2001,"Australian Capital Territory",581,37,272
"Sep",2001,"New South Wales",9475,11376,-4092
"Sep",2001,"Victoria",7029,3759,1020
"Sep",2001,"Queensland",6235,7832,5363
"Sep",2001,"South Australia",1316,520,-509
"Sep",2001,"Western Australia",3228,3932,-627
"Sep",2001,"Tasmania",386,-29,-392
"Sep",2001,"Northern Territory",693,217,-414
"Sep",2001,"Australian Capital Territory",618,111,-342
"Dec",2001,"New South Wales",9757,12872,-6814
"Dec",2001,"Victoria",6689,5614,1229
"Dec",2001,"Queensland",5842,6491,7833
"Dec",2001,"South Australia",1195,1468,-32
"Dec",2001,"Western Australia",3164,4196,-1229
"Dec",2001,"Tasmania",534,421,-503
"Dec",2001,"Northern Territory",681,61,-740
"Dec",2001,"Australian Capital Territory",584,76,265
"Mar",2002,"New South Wales",11439,14230,-6631
"Mar",2002,"Victoria",7387,8917,1796
"Mar",2002,"Queensland",6471,6960,6746
"Mar",2002,"South Australia",1876,499,-396
"Mar",2002,"Western Australia",3614,4947,-778
"Mar",2002,"Tasmania",583,65,-226
"Mar",2002,"Northern Territory",742,296,-663
"Mar",2002,"Australian Capital Territory",708,443,161
"Jun",2002,"New South Wales",9377,5933,-7565
"Jun",2002,"Victoria",6677,1962,-436
"Jun",2002,"Queensland",6306,5205,10093
"Jun",2002,"South Australia",1407,311,-371
"Jun",2002,"Western Australia",3227,1895,-948
"Jun",2002,"Tasmania",479,-150,-302
"Jun",2002,"Northern Territory",723,81,-181
"Jun",2002,"Australian Capital Territory",651,68,-281
"Sep",2002,"New South Wales",8450,10844,-7317
"Sep",2002,"Victoria",6231,6144,-489
"Sep",2002,"Queensland",5268,8777,9565
"Sep",2002,"South Australia",1060,706,107
"Sep",2002,"Western Australia",2852,2951,-778
"Sep",2002,"Tasmania",480,40,40
"Sep",2002,"Northern Territory",716,192,-827
"Sep",2002,"Australian Capital Territory",678,242,-293
"Dec",2002,"New South Wales",10587,9885,-9561
"Dec",2002,"Victoria",7045,6606,273
"Dec",2002,"Queensland",5756,6991,11033
"Dec",2002,"South Australia",1254,1153,-568
"Dec",2002,"Western Australia",3226,3865,-899
"Dec",2002,"Tasmania",431,570,466
"Dec",2002,"Northern Territory",672,-161,-769
"Dec",2002,"Australian Capital Territory",631,21,35
"Mar",2003,"New South Wales",10787,15031,-7417
"Mar",2003,"Victoria",7268,10691,517
"Mar",2003,"Queensland",6667,7697,7943
"Mar",2003,"South Australia",1528,1486,-385
"Mar",2003,"Western Australia",3347,5717,-286
"Mar",2003,"Tasmania",487,349,842
"Mar",2003,"Northern Territory",796,-13,-1011
"Mar",2003,"Australian Capital Territory",693,630,-195
"Jun",2003,"New South Wales",10149,5159,-8172
"Jun",2003,"Victoria",6601,3336,-1044
"Jun",2003,"Queensland",6644,3657,9443
"Jun",2003,"South Australia",1401,559,-345
"Jun",2003,"Western Australia",3439,3042,-9
"Jun",2003,"Tasmania",351,55,645
"Jun",2003,"Northern Territory",762,307,-161
"Jun",2003,"Australian Capital Territory",618,-8,-349
"Sep",2003,"New South Wales",8878,7722,-7741
"Sep",2003,"Victoria",6634,7107,-475
"Sep",2003,"Queensland",5992,6959,8866
"Sep",2003,"South Australia",1153,982,-588
"Sep",2003,"Western Australia",2804,3983,410
"Sep",2003,"Tasmania",377,162,851
"Sep",2003,"Northern Territory",668,266,-624
"Sep",2003,"Australian Capital Territory",658,49,-691
"Dec",2003,"New South Wales",10151,7481,-8616
"Dec",2003,"Victoria",7380,5435,-1219
"Dec",2003,"Queensland",6439,6747,10101
"Dec",2003,"South Australia",1408,1217,-334
"Dec",2003,"Western Australia",2890,3977,344
"Dec",2003,"Tasmania",576,294,799
"Dec",2003,"Northern Territory",658,4,-487
"Dec",2003,"Australian Capital Territory",719,58,-579
"Mar",2004,"New South Wales",11413,11640,-7239
"Mar",2004,"Victoria",7762,9740,-365
"Mar",2004,"Queensland",6747,7782,7675
"Mar",2004,"South Australia",1489,1480,-946
"Mar",2004,"Western Australia",3850,3990,686
"Mar",2004,"Tasmania",468,205,779
"Mar",2004,"Northern Territory",740,226,-425
"Mar",2004,"Australian Capital Territory",703,408,-155
"Jun",2004,"New South Wales",9023,2977,-7502
"Jun",2004,"Victoria",6575,2738,-992
"Jun",2004,"Queensland",6123,3911,8856
"Jun",2004,"South Australia",1358,626,-1042
"Jun",2004,"Western Australia",3570,1684,655
"Jun",2004,"Tasmania",309,39,145
"Jun",2004,"Northern Territory",689,152,49
"Jun",2004,"Australian Capital Territory",595,-59,-161
"Sep",2004,"New South Wales",8592,9151,-6116
"Sep",2004,"Victoria",7247,8892,-672
"Sep",2004,"Queensland",6282,6152,7315
"Sep",2004,"South Australia",1078,1483,-468
"Sep",2004,"Western Australia",3147,3876,463
"Sep",2004,"Tasmania",520,243,158
"Sep",2004,"Northern Territory",638,464,-11
"Sep",2004,"Australian Capital Territory",711,131,-663
"Dec",2004,"New South Wales",9910,7901,-7071
"Dec",2004,"Victoria",7160,6438,-554
"Dec",2004,"Queensland",5946,7909,8506
"Dec",2004,"South Australia",1386,1482,-1063
"Dec",2004,"Western Australia",3301,4424,508
"Dec",2004,"Tasmania",520,440,-71
"Dec",2004,"Northern Territory",578,80,-95
"Dec",2004,"Australian Capital Territory",689,-179,-152
"Mar",2005,"New South Wales",11677,13768,-6828
"Mar",2005,"Victoria",7881,13482,-910
"Mar",2005,"Queensland",7736,9265,7467
"Mar",2005,"South Australia",1879,3138,-1017
"Mar",2005,"Western Australia",4033,6131,739
"Mar",2005,"Tasmania",549,430,107
"Mar",2005,"Northern Territory",660,272,342
"Mar",2005,"Australian Capital Territory",719,584,108
"Jun",2005,"New South Wales",11201,4385,-6306
"Jun",2005,"Victoria",7620,3480,-934
"Jun",2005,"Queensland",8103,6229,7083
"Jun",2005,"South Australia",1536,917,-678
"Jun",2005,"Western Australia",3792,2729,531
"Jun",2005,"Tasmania",550,-68,73
"Jun",2005,"Northern Territory",682,188,374
"Jun",2005,"Australian Capital Territory",656,-50,-135
"Sep",2005,"New South Wales",10493,10786,-5563
"Sep",2005,"Victoria",7176,9955,-1033
"Sep",2005,"Queensland",7193,8406,6313
"Sep",2005,"South Australia",1181,2550,-724
"Sep",2005,"Western Australia",3568,5108,992
"Sep",2005,"Tasmania",585,217,-6
"Sep",2005,"Northern Territory",704,365,20
"Sep",2005,"Australian Capital Territory",679,69,11
"Dec",2005,"New South Wales",11236,8641,-7787
"Dec",2005,"Victoria",7866,8892,-694
"Dec",2005,"Queensland",7038,8277,8278
"Dec",2005,"South Australia",1471,2130,-947
"Dec",2005,"Western Australia",3592,5952,556
"Dec",2005,"Tasmania",712,463,132
"Dec",2005,"Northern Territory",613,262,-10
"Dec",2005,"Australian Capital Territory",749,71,486
"Mar",2006,"New South Wales",10033,15160,-6188
"Mar",2006,"Victoria",8341,15469,298
"Mar",2006,"Queensland",7851,10077,5464
"Mar",2006,"South Australia",1868,3432,-205
"Mar",2006,"Western Australia",4144,7510,1387
"Mar",2006,"Tasmania",748,383,13
"Mar",2006,"Northern Territory",724,768,-295
"Mar",2006,"Australian Capital Territory",815,413,-463
"Jun",2006,"New South Wales",10763,3936,-6038
"Jun",2006,"Victoria",7324,5245,-402
"Jun",2006,"Queensland",7497,6192,6552
"Jun",2006,"South Australia",1338,1701,-835
"Jun",2006,"Western Australia",3881,3785,998
"Jun",2006,"Tasmania",382,103,-221
"Jun",2006,"Northern Territory",723,496,-268
"Jun",2006,"Australian Capital Territory",665,-52,224
"Sep",2006,"New South Wales",11589,18905,-5523
"Sep",2006,"Victoria",8554,14853,-203
"Sep",2006,"Queensland",7836,10814,4853
"Sep",2006,"South Australia",1652,3703,-500
"Sep",2006,"Western Australia",4325,7687,1076
"Sep",2006,"Tasmania",753,392,-159
"Sep",2006,"Northern Territory",650,231,267
"Sep",2006,"Australian Capital Territory",845,363,158
"Dec",2006,"New South Wales",12346,17010,-7796
"Dec",2006,"Victoria",8539,13011,-306
"Dec",2006,"Queensland",7731,9170,7284
"Dec",2006,"South Australia",1592,3475,-1053
"Dec",2006,"Western Australia",4097,7221,1152
"Dec",2006,"Tasmania",802,406,-118
"Dec",2006,"Northern Territory",673,25,-35
"Dec",2006,"Australian Capital Territory",699,307,832
"Mar",2007,"New South Wales",13709,23022,-6051
"Mar",2007,"Victoria",9463,22045,-556
"Mar",2007,"Queensland",8927,14047,5619
"Mar",2007,"South Australia",2176,4820,-1033
"Mar",2007,"Western Australia",4626,10277,1490
"Mar",2007,"Tasmania",651,447,-55
"Mar",2007,"Northern Territory",762,477,43
"Mar",2007,"Australian Capital Territory",747,913,506
"Jun",2007,"New South Wales",12570,14633,-6901
"Jun",2007,"Victoria",8237,12630,-552
"Jun",2007,"Queensland",8649,12114,5625
"Jun",2007,"South Australia",1628,2635,-785
"Jun",2007,"Western Australia",4287,6196,1644
"Jun",2007,"Tasmania",582,192,-205
"Jun",2007,"Northern Territory",737,420,168
"Jun",2007,"Australian Capital Territory",776,353,969
"Sep",2007,"New South Wales",11319,20903,-4892
"Sep",2007,"Victoria",8672,17509,-148
"Sep",2007,"Queensland",8511,10750,4775
"Sep",2007,"South Australia",1558,3345,-888
"Sep",2007,"Western Australia",4192,9211,932
"Sep",2007,"Tasmania",582,422,247
"Sep",2007,"Northern Territory",665,266,426
"Sep",2007,"Australian Capital Territory",772,407,-485
"Dec",2007,"New South Wales",12601,18339,-5070
"Dec",2007,"Victoria",9023,14288,-1302
"Dec",2007,"Queensland",8441,10770,5934
"Dec",2007,"South Australia",1975,3029,-958
"Dec",2007,"Western Australia",4387,8743,789
"Dec",2007,"Tasmania",638,408,225
"Dec",2007,"Northern Territory",706,214,440
"Dec",2007,"Australian Capital Territory",740,204,-98
"Mar",2008,"New South Wales",13675,29416,-5330
"Mar",2008,"Victoria",9457,24930,118
"Mar",2008,"Queensland",9382,17953,4248
"Mar",2008,"South Australia",2131,5236,-1351
"Mar",2008,"Western Australia",5026,13449,1757
"Mar",2008,"Tasmania",735,734,193
"Mar",2008,"Northern Territory",736,483,19
"Mar",2008,"Australian Capital Territory",740,1260,309
"Jun",2008,"New South Wales",12041,18731,-5488
"Jun",2008,"Victoria",8166,16835,-592
"Jun",2008,"Queensland",9224,14434,4452
"Jun",2008,"South Australia",1669,3717,-1024
"Jun",2008,"Western Australia",4551,9773,1513
"Jun",2008,"Tasmania",640,271,65
"Jun",2008,"Northern Territory",743,660,504
"Jun",2008,"Australian Capital Territory",711,647,534
"Sep",2008,"New South Wales",11312,25036,-5323
"Sep",2008,"Victoria",8463,22776,138
"Sep",2008,"Queensland",8487,15873,4447
"Sep",2008,"South Australia",1621,4709,-1127
"Sep",2008,"Western Australia",4203,13744,1684
"Sep",2008,"Tasmania",548,597,355
"Sep",2008,"Northern Territory",720,505,299
"Sep",2008,"Australian Capital Territory",806,883,-506
"Dec",2008,"New South Wales",13627,23244,-5386
"Dec",2008,"Victoria",9126,18684,111
"Dec",2008,"Queensland",8940,14580,4369
"Dec",2008,"South Australia",1758,3955,-1418
"Dec",2008,"Western Australia",4385,11223,1499
"Dec",2008,"Tasmania",706,487,513
"Dec",2008,"Northern Territory",620,322,59
"Dec",2008,"Australian Capital Territory",824,535,211
"Mar",2009,"New South Wales",13333,23899,-4537
"Mar",2009,"Victoria",8827,25867,872
"Mar",2009,"Queensland",9695,17643,3031
"Mar",2009,"South Australia",1987,5563,-1147
"Mar",2009,"Western Australia",4806,12971,1356
"Mar",2009,"Tasmania",672,733,261
"Mar",2009,"Northern Territory",744,447,156
"Mar",2009,"Australian Capital Territory",723,1572,-27
"Jun",2009,"New South Wales",12266,14564,-3421
"Jun",2009,"Victoria",8778,16289,402
"Jun",2009,"Queensland",9397,11223,2855
"Jun",2009,"South Australia",1835,3778,-710
"Jun",2009,"Western Australia",4828,6390,473
"Jun",2009,"Tasmania",673,310,-66
"Jun",2009,"Northern Territory",806,825,420
"Jun",2009,"Australian Capital Territory",813,618,13
"Sep",2009,"New South Wales",12466,17707,-2197
"Sep",2009,"Victoria",8904,18998,419
"Sep",2009,"Queensland",8739,11200,2082
"Sep",2009,"South Australia",1707,4605,-406
"Sep",2009,"Western Australia",4538,8179,218
"Sep",2009,"Tasmania",593,473,87
"Sep",2009,"Northern Territory",714,374,75
"Sep",2009,"Australian Capital Territory",885,980,-308
"Dec",2009,"New South Wales",13435,13994,-2536
"Dec",2009,"Victoria",9904,10933,899
"Dec",2009,"Queensland",8697,7259,2023
"Dec",2009,"South Australia",1757,3227,-788
"Dec",2009,"Western Australia",4535,5301,398
"Dec",2009,"Tasmania",588,410,30
"Dec",2009,"Northern Territory",719,44,-284
"Dec",2009,"Australian Capital Territory",860,498,221
"Mar",2010,"New South Wales",13881,17556,-2065
"Mar",2010,"Victoria",10006,16227,1057
"Mar",2010,"Queensland",9767,10638,589
"Mar",2010,"South Australia",2169,4355,-848
"Mar",2010,"Western Australia",5078,8769,810
"Mar",2010,"Tasmania",618,694,456
"Mar",2010,"Northern Territory",762,339,-329
"Mar",2010,"Australian Capital Territory",962,1282,297
"Jun",2010,"New South Wales",13254,7895,-2660
"Jun",2010,"Victoria",8850,7521,939
"Jun",2010,"Queensland",9395,6723,1478
"Jun",2010,"South Australia",1823,2350,-667
"Jun",2010,"Western Australia",4783,6617,693
"Jun",2010,"Tasmania",510,102,91
"Jun",2010,"Northern Territory",769,474,-123
"Jun",2010,"Australian Capital Territory",886,325,217
"Sep",2010,"New South Wales",12247,11970,-2293
"Sep",2010,"Victoria",8666,10269,334
"Sep",2010,"Queensland",8880,7541,1608
"Sep",2010,"South Australia",1535,2512,-808
"Sep",2010,"Western Australia",4503,8678,1397
"Sep",2010,"Tasmania",494,222,49
"Sep",2010,"Northern Territory",704,247,-288
"Sep",2010,"Australian Capital Territory",797,336,4
"Dec",2010,"New South Wales",11876,12623,-3831
"Dec",2010,"Victoria",8646,9197,801
"Dec",2010,"Queensland",8240,6768,1709
"Dec",2010,"South Australia",1616,1677,-715
"Dec",2010,"Western Australia",4272,7833,1557
"Dec",2010,"Tasmania",535,212,118
"Dec",2010,"Northern Territory",668,27,-859
"Dec",2010,"Australian Capital Territory",777,58,1222
"Mar",2011,"New South Wales",13703,17961,-3360
"Mar",2011,"Victoria",9312,15683,1327
"Mar",2011,"Queensland",9503,11386,1490
"Mar",2011,"South Australia",2083,2932,-400
"Mar",2011,"Western Australia",5296,11206,2038
"Mar",2011,"Tasmania",671,486,1
"Mar",2011,"Northern Territory",745,271,-1077
"Mar",2011,"Australian Capital Territory",953,1033,-16
"Jun",2011,"New South Wales",12172,9121,-4012
"Jun",2011,"Victoria",8548,9482,1072
"Jun",2011,"Queensland",9181,8934,1988
"Jun",2011,"South Australia",1836,2047,-691
"Jun",2011,"Western Australia",5057,8708,2041
"Jun",2011,"Tasmania",502,73,-215
"Jun",2011,"Northern Territory",828,555,-325
"Jun",2011,"Australian Capital Territory",855,311,144
"Sep",2011,"New South Wales",11063,14098,-3698
"Sep",2011,"Victoria",9107,13291,505
"Sep",2011,"Queensland",7918,11226,2638
"Sep",2011,"South Australia",1753,2771,-855
"Sep",2011,"Western Australia",4659,11922,1444
"Sep",2011,"Tasmania",563,392,-209
"Sep",2011,"Northern Territory",722,781,37
"Sep",2011,"Australian Capital Territory",841,962,139
"Dec",2011,"New South Wales",11684,12985,-4999
"Dec",2011,"Victoria",9627,12606,978
"Dec",2011,"Queensland",8353,9376,3271
"Dec",2011,"South Australia",1829,2682,-858
"Dec",2011,"Western Australia",4581,11441,2137
"Dec",2011,"Tasmania",564,296,-640
"Dec",2011,"Northern Territory",614,462,-458
"Dec",2011,"Australian Capital Territory",902,745,570
"Mar",2012,"New South Wales",13729,17902,-4948
"Mar",2012,"Victoria",10401,18396,759
"Mar",2012,"Queensland",10084,14157,3197
"Mar",2012,"South Australia",2094,4271,-943
"Mar",2012,"Western Australia",5470,15822,2672
"Mar",2012,"Tasmania",508,623,-522
"Mar",2012,"Northern Territory",800,1119,-340
"Mar",2012,"Australian Capital Territory",983,1716,125
"Jun",2012,"New South Wales",11945,12241,-4470
"Jun",2012,"Victoria",9715,11881,175
"Jun",2012,"Queensland",9078,11779,2676
"Jun",2012,"South Australia",1818,2634,-564
"Jun",2012,"Western Australia",5260,11595,2356
"Jun",2012,"Tasmania",431,213,-554
"Jun",2012,"Northern Territory",858,964,70
"Jun",2012,"Australian Capital Territory",838,596,311
"Sep",2012,"New South Wales",11114,16536,-3786
"Sep",2012,"Victoria",9056,15665,582
"Sep",2012,"Queensland",8099,12846,2983
"Sep",2012,"South Australia",1537,2861,-1038
"Sep",2012,"Western Australia",4667,13087,1484
"Sep",2012,"Tasmania",359,307,-450
"Sep",2012,"Northern Territory",717,1097,38
"Sep",2012,"Australian Capital Territory",959,946,186
"Dec",2012,"New South Wales",13358,16456,-3718
"Dec",2012,"Victoria",10591,12811,1732
"Dec",2012,"Queensland",9176,8482,2069
"Dec",2012,"South Australia",1920,2108,-1271
"Dec",2012,"Western Australia",5423,9461,1592
"Dec",2012,"Tasmania",408,439,-249
"Dec",2012,"Northern Territory",664,939,-149
"Dec",2012,"Australian Capital Territory",974,297,-6
"Mar",2013,"New South Wales",13255,20704,-3725
"Mar",2013,"Victoria",10488,18901,1882
"Mar",2013,"Queensland",9423,12250,1990
"Mar",2013,"South Australia",2138,3986,-1269
"Mar",2013,"Western Australia",5655,12339,1601
"Mar",2013,"Tasmania",489,564,-253
"Mar",2013,"Northern Territory",757,1169,-291
"Mar",2013,"Australian Capital Territory",951,1307,65
"Jun",2013,"New South Wales",11918,13067,-3416
"Jun",2013,"Victoria",9819,11657,2224
"Jun",2013,"Queensland",8829,8253,1832
"Jun",2013,"South Australia",1768,2723,-1183
"Jun",2013,"Western Australia",5306,7251,999
"Jun",2013,"Tasmania",392,304,-334
"Jun",2013,"Northern Territory",804,1149,-79
"Jun",2013,"Australian Capital Territory",914,365,-43
"Sep",2013,"New South Wales",10275,18629,-1713
"Sep",2013,"Victoria",9554,16143,2051
"Sep",2013,"Queensland",8752,8257,1515
"Sep",2013,"South Australia",1521,3156,-974
"Sep",2013,"Western Australia",5000,6300,-32
"Sep",2013,"Tasmania",391,516,-256
"Sep",2013,"Northern Territory",678,425,-270
"Sep",2013,"Australian Capital Territory",996,804,-321
"Dec",2013,"New South Wales",11654,15183,-2466
"Dec",2013,"Victoria",9761,11802,2439
"Dec",2013,"Queensland",8444,4702,2089
"Dec",2013,"South Australia",1655,2269,-1319
"Dec",2013,"Western Australia",5115,3171,-459
"Dec",2013,"Tasmania",391,407,83
"Dec",2013,"Northern Territory",697,450,-896
"Dec",2013,"Australian Capital Territory",979,172,529
"Mar",2014,"New South Wales",12341,21805,-957
"Mar",2014,"Victoria",10589,19573,2655
"Mar",2014,"Queensland",9665,9754,911
"Mar",2014,"South Australia",2140,4061,-837
"Mar",2014,"Western Australia",5699,7143,-570
"Mar",2014,"Tasmania",507,589,-44
"Mar",2014,"Northern Territory",720,645,-622
"Mar",2014,"Australian Capital Territory",1007,1463,-536
"Jun",2014,"New South Wales",11073,11375,-1615
"Jun",2014,"Victoria",9315,9388,2594
"Jun",2014,"Queensland",8760,4504,1779
"Jun",2014,"South Australia",1876,2154,-760
"Jun",2014,"Western Australia",5494,2136,-663
"Jun",2014,"Tasmania",251,289,-218
"Jun",2014,"Northern Territory",769,232,-633
"Jun",2014,"Australian Capital Territory",881,276,-484
"Sep",2014,"New South Wales",9978,19303,-1184
"Sep",2014,"Victoria",9341,16879,1703
"Sep",2014,"Queensland",8153,5740,1653
"Sep",2014,"South Australia",1380,2573,-926
"Sep",2014,"Western Australia",5159,3936,-696
"Sep",2014,"Tasmania",332,376,-65
"Sep",2014,"Northern Territory",643,236,-305
"Sep",2014,"Australian Capital Territory",928,1144,-180
"Dec",2014,"New South Wales",12029,15869,-1826
"Dec",2014,"Victoria",10112,12553,3289
"Dec",2014,"Queensland",8375,3035,1836
"Dec",2014,"South Australia",1756,2186,-1134
"Dec",2014,"Western Australia",5298,2297,-1058
"Dec",2014,"Tasmania",330,471,-297
"Dec",2014,"Northern Territory",660,28,-879
"Dec",2014,"Australian Capital Territory",978,330,69
"Mar",2015,"New South Wales",12461,22897,-1662
"Mar",2015,"Victoria",10092,20105,3105
"Mar",2015,"Queensland",8412,7978,1382
"Mar",2015,"South Australia",1795,4297,-937
"Mar",2015,"Western Australia",5501,5620,-1188
"Mar",2015,"Tasmania",400,601,148
"Mar",2015,"Northern Territory",763,715,-896
"Mar",2015,"Australian Capital Territory",967,1555,47
"Jun",2015,"New South Wales",10455,12240,-2104
"Jun",2015,"Victoria",8598,11157,2982
"Jun",2015,"Queensland",8177,3681,1990
"Jun",2015,"South Australia",1541,2096,-1573
"Jun",2015,"Western Australia",5138,2218,-1336
"Jun",2015,"Tasmania",267,75,341
"Jun",2015,"Northern Territory",791,1375,-261
"Jun",2015,"Australian Capital Territory",946,467,-39
"Sep",2015,"New South Wales",10185,20471,-2006
"Sep",2015,"Victoria",9224,18147,2661
"Sep",2015,"Queensland",7576,4594,2119
"Sep",2015,"South Australia",1205,2709,-1272
"Sep",2015,"Western Australia",4880,3304,-1425
"Sep",2015,"Tasmania",117,486,315
"Sep",2015,"Northern Territory",674,-284,-298
"Sep",2015,"Australian Capital Territory",896,952,-96
"Dec",2015,"New South Wales",11479,17230,-3131
"Dec",2015,"Victoria",10306,14782,5197
"Dec",2015,"Queensland",7410,3227,3250
"Dec",2015,"South Australia",1671,2149,-1972
"Dec",2015,"Western Australia",5205,1599,-2651
"Dec",2015,"Tasmania",248,251,-185
"Dec",2015,"Northern Territory",623,-262,-626
"Dec",2015,"Australian Capital Territory",962,296,113
"Mar",2016,"New South Wales",12677,26055,-3262
"Mar",2016,"Victoria",10943,24794,4602
"Mar",2016,"Queensland",9012,9874,3187
"Mar",2016,"South Australia",1970,3898,-1865
"Mar",2016,"Western Australia",5821,5362,-2511
"Mar",2016,"Tasmania",499,771,240
"Mar",2016,"Northern Territory",754,615,-612
"Mar",2016,"Australian Capital Territory",998,1643,214
"Jun",2016,"New South Wales",11814,16251,-3140
"Jun",2016,"Victoria",9652,14492,5179
"Jun",2016,"Queensland",8388,7257,3430
"Jun",2016,"South Australia",1693,2527,-2103
"Jun",2016,"Western Australia",5456,1356,-3423
"Jun",2016,"Tasmania",330,263,390
"Jun",2016,"Northern Territory",786,979,-493
"Jun",2016,"Australian Capital Territory",878,439,152
"Sep",2016,"New South Wales",10332,30126,-2454
"Sep",2016,"Victoria",9347,24517,2432
"Sep",2016,"Queensland",7657,9353,3379
"Sep",2016,"South Australia",1370,3418,-1420
"Sep",2016,"Western Australia",4731,3803,-2395
"Sep",2016,"Tasmania",242,554,309
"Sep",2016,"Northern Territory",690,560,-218
"Sep",2016,"Australian Capital Territory",912,1322,367
"Dec",2016,"New South Wales",11344,23770,-4462
"Dec",2016,"Victoria",9564,19105,4893
"Dec",2016,"Queensland",7296,5943,4626
"Dec",2016,"South Australia",1283,2264,-2305
"Dec",2016,"Western Australia",4953,1442,-3669
"Dec",2016,"Tasmania",214,689,485
"Dec",2016,"Northern Territory",700,-67,-746
"Dec",2016,"Australian Capital Territory",883,443,1178
"Mar",2017,"New South Wales",12366,33051,-4608
"Mar",2017,"Victoria",10692,31795,3945
"Mar",2017,"Queensland",7949,11370,4351
"Mar",2017,"South Australia",1726,4219,-1346
"Mar",2017,"Western Australia",5260,5141,-3088
"Mar",2017,"Tasmania",279,828,506
"Mar",2017,"Northern Territory",687,434,-697
"Mar",2017,"Australian Capital Territory",941,1930,937
"Jun",2017,"New South Wales",10695,18555,-4440
"Jun",2017,"Victoria",9395,15826,2478
"Jun",2017,"Queensland",7705,7409,5138
"Jun",2017,"South Australia",1304,2274,-1229
"Jun",2017,"Western Australia",5196,1623,-2749
"Jun",2017,"Tasmania",295,273,641
"Jun",2017,"Northern Territory",784,918,-272
"Jun",2017,"Australian Capital Territory",807,453,433
"Sep",2017,"New South Wales",8451,28130,-4092
"Sep",2017,"Victoria",8304,24565,1711
"Sep",2017,"Queensland",6696,7040,5369
"Sep",2017,"South Australia",922,3571,-1202
"Sep",2017,"Western Australia",4591,3720,-2288
"Sep",2017,"Tasmania",-82,987,685
"Sep",2017,"Northern Territory",604,100,-340
"Sep",2017,"Australian Capital Territory",804,1629,157
"Dec",2017,"New South Wales",10889,15192,-6843
"Dec",2017,"Victoria",10309,14946,3130
"Dec",2017,"Queensland",6754,1818,7607
"Dec",2017,"South Australia",1110,2039,-1641
"Dec",2017,"Western Australia",4924,1218,-2746
"Dec",2017,"Tasmania",213,483,515
"Dec",2017,"Northern Territory",621,-210,-806
"Dec",2017,"Australian Capital Territory",813,336,784
"Mar",2018,"New South Wales",12484,30281,-5942
"Mar",2018,"Victoria",10665,30962,2456
"Mar",2018,"Queensland",8262,11337,5753
"Mar",2018,"South Australia",1736,4715,-950
