"Quarter","Year","State","Natural_Increase","Net_Overseas_Migration","Net_Interstate_Migration"
"Jun",1985,"Australian Capital Territory",808,22,1402
"Sep",1985,"New South Wales",7934,9472,-3549
"Sep",1985,"Victoria",6245,6503,-2754
"Sep",1985,"Queensland",4500,2639,4012
"Sep",1985,"South Australia",1693,1272,-659
"Sep",1985,"Western Australia",3073,2820,2104
"Sep",1985,"Tasmania",829,179,-284
"Sep",1985,"Northern Territory",723,386,466
"Sep",1985,"Australian Capital Territory",775,303,664
"Dec",1985,"New South Wales",10244,11725,-3641
"Dec",1985,"Victoria",7610,7440,-4159
"Dec",1985,"Queensland",5234,2892,4607
"Dec",1985,"South Australia",2476,1414,-197
"Dec",1985,"Western Australia",3268,3421,2032
"Dec",1985,"Tasmania",789,222,21
"Dec",1985,"Northern Territory",679,225,371
"Dec",1985,"Australian Capital Territory",842,339,966
"Mar",1986,"New South Wales",11629,10523,-2127
"Mar",1986,"Victoria",7431,6925,-3458
"Mar",1986,"Queensland",5512,2733,3861
"Mar",1986,"South Australia",2548,1201,-91
"Mar",1986,"Western Australia",3774,3249,2522
"Mar",1986,"Tasmania",836,341,-26
"Mar",1986,"Northern Territory",719,267,-543
"Mar",1986,"Australian Capital Territory",689,511,-138
"Jun",1986,"New South Wales",9623,9202,-3145
"Jun",1986,"Victoria",7808,5552,-2830
"Jun",1986,"Queensland",6533,3118,4020
"Jun",1986,"South Australia",2513,1197,-470
"Jun",1986,"Western Australia",4177,3546,2770
"Jun",1986,"Tasmania",864,148,151
"Jun",1986,"Northern Territory",674,327,-787
"Jun",1986,"Australian Capital Territory",802,267,291
"Sep",1986,"New South Wales",8403,12290,-2476
"Sep",1986,"Victoria",7218,7321,-3195
"Sep",1986,"Queensland",5345,3418,4157
"Sep",1986,"South Australia",2089,1560,-1094
"Sep",1986,"Western Australia",3448,4211,2068
"Sep",1986,"Tasmania",904,208,-229
"Sep",1986,"Northern Territory",685,278,142
"Sep",1986,"Australian Capital Territory",723,306,627
"Dec",1986,"New South Wales",12709,12826,-1397
"Dec",1986,"Victoria",7530,8440,-3812
"Dec",1986,"Queensland",5120,3250,4969
"Dec",1986,"South Australia",2263,2005,-1344
"Dec",1986,"Western Australia",3530,4507,1281
"Dec",1986,"Tasmania",892,309,-260
"Dec",1986,"Northern Territory",576,185,201
"Dec",1986,"Australian Capital Territory",860,442,362
"Mar",1987,"New South Wales",9839,14819,-2887
"Mar",1987,"Victoria",8036,9715,-3921
"Mar",1987,"Queensland",5556,3066,6292
"Mar",1987,"South Australia",2566,1430,-794
"Mar",1987,"Western Australia",3442,4814,1584
"Mar",1987,"Tasmania",891,190,-688
"Mar",1987,"Northern Territory",822,315,15
"Mar",1987,"Australian Capital Territory",778,709,399
"Jun",1987,"New South Wales",10350,12758,-2764
"Jun",1987,"Victoria",7772,7360,-2177
"Jun",1987,"Queensland",5754,3437,4300
"Jun",1987,"South Australia",2133,1205,-745
"Jun",1987,"Western Australia",4251,3782,1643
"Jun",1987,"Tasmania",828,163,-331
"Jun",1987,"Northern Territory",619,244,-478
"Jun",1987,"Australian Capital Territory",726,167,552
"Sep",1987,"New South Wales",9509,15572,-2003
"Sep",1987,"Victoria",7118,10088,-3371
"Sep",1987,"Queensland",4640,4387,4950
"Sep",1987,"South Australia",2031,1464,-48
"Sep",1987,"Western Australia",3706,4757,918
"Sep",1987,"Tasmania",728,291,-847
"Sep",1987,"Northern Territory",750,330,-185
"Sep",1987,"Australian Capital Territory",773,545,586
"Dec",1987,"New South Wales",14206,15170,-3141
"Dec",1987,"Victoria",7032,8841,-4396
"Dec",1987,"Queensland",4554,4459,7329
"Dec",1987,"South Australia",1974,1446,-144
"Dec",1987,"Western Australia",3053,4200,1143
"Dec",1987,"Tasmania",706,206,-440
"Dec",1987,"Northern Territory",662,98,-904
"Dec",1987,"Australian Capital Territory",833,32,553
"Mar",1988,"New South Wales",8547,18575,-4029
"Mar",1988,"Victoria",8294,11808,-4823
"Mar",1988,"Queensland",5691,6643,9097
"Mar",1988,"South Australia",2252,1841,-459
"Mar",1988,"Western Australia",4546,6916,1094
"Mar",1988,"Tasmania",791,335,-349
"Mar",1988,"Northern Territory",614,356,-1093
"Mar",1988,"Australian Capital Territory",826,788,562
"Jun",1988,"New South Wales",9821,12173,-4167
"Jun",1988,"Victoria",8141,6515,-1833
"Jun",1988,"Queensland",5573,4953,6344
"Jun",1988,"South Australia",2232,1201,-589
"Jun",1988,"Western Australia",3835,4972,1119
"Jun",1988,"Tasmania",830,59,-288
"Jun",1988,"Northern Territory",729,243,-947
"Jun",1988,"Australian Capital Territory",740,77,361
"Sep",1988,"New South Wales",9053,21495,-7495
"Sep",1988,"Victoria",7253,12862,-2076
"Sep",1988,"Queensland",4843,7507,8992
"Sep",1988,"South Australia",1787,2589,-333
"Sep",1988,"Western Australia",3545,8057,1590
"Sep",1988,"Tasmania",677,284,-194
"Sep",1988,"Northern Territory",560,316,-143
"Sep",1988,"Australian Capital Territory",813,477,-341
"Dec",1988,"New South Wales",12550,16998,-7594
"Dec",1988,"Victoria",7720,10603,-3167
"Dec",1988,"Queensland",5651,5861,9828
"Dec",1988,"South Australia",2194,1533,138
"Dec",1988,"Western Australia",3685,6079,1425
"Dec",1988,"Tasmania",934,184,-232
"Dec",1988,"Northern Territory",660,168,-141
"Dec",1988,"Australian Capital Territory",940,326,-257
"Mar",1989,"New South Wales",12245,16594,-11342
"Mar",1989,"Victoria",8844,11191,-5125
"Mar",1989,"Queensland",5872,5637,15327
"Mar",1989,"South Australia",2581,1708,573
"Mar",1989,"Western Australia",3881,6773,461
"Mar",1989,"Tasmania",805,264,92
"Mar",1989,"Northern Territory",545,382,-458
"Mar",1989,"Australian Capital Territory",842,439,472
"Jun",1989,"New South Wales",10588,7549,-11543
"Jun",1989,"Victoria",7796,4758,-2136
"Jun",1989,"Queensland",5966,2771,12915
"Jun",1989,"South Australia",2102,835,-599
"Jun",1989,"Western Australia",4242,3256,1541
"Jun",1989,"Tasmania",775,24,537
"Jun",1989,"Northern Territory",733,78,-727
"Jun",1989,"Australian Capital Territory",706,-162,12
"Sep",1989,"New South Wales",5708,14092,-10427
"Sep",1989,"Victoria",7117,8958,-2340
"Sep",1989,"Queensland",4898,4024,11289
"Sep",1989,"South Australia",1490,1506,-170
"Sep",1989,"Western Australia",3694,4972,1338
"Sep",1989,"Tasmania",725,159,681
"Sep",1989,"Northern Territory",611,266,-406
"Sep",1989,"Australian Capital Territory",777,211,35
"Dec",1989,"New South Wales",12189,14459,-9163
"Dec",1989,"Victoria",7866,9150,-1966
"Dec",1989,"Queensland",4890,3434,9441
"Dec",1989,"South Australia",2089,1749,136
"Dec",1989,"Western Australia",3691,3728,872
"Dec",1989,"Tasmania",818,309,446
"Dec",1989,"Northern Territory",703,106,-410
"Dec",1989,"Australian Capital Territory",832,258,644
"Mar",1990,"New South Wales",10140,13847,-8884
"Mar",1990,"Victoria",9598,10226,-3139
"Mar",1990,"Queensland",6762,3037,11167
"Mar",1990,"South Australia",2457,1540,267
"Mar",1990,"Western Australia",4365,4905,716
"Mar",1990,"Tasmania",934,238,481
"Mar",1990,"Northern Territory",639,280,-502
"Mar",1990,"Australian Capital Territory",954,577,-106
"Jun",1990,"New South Wales",13609,9801,-7509
"Jun",1990,"Victoria",9111,5679,-384
"Jun",1990,"Queensland",7064,2647,6205
"Jun",1990,"South Australia",2217,967,-485
"Jun",1990,"Western Australia",4023,3233,86
"Jun",1990,"Tasmania",875,54,1182
"Jun",1990,"Northern Territory",752,266,148
"Jun",1990,"Australian Capital Territory",811,-31,757
"Sep",1990,"New South Wales",10339,10649,-5141
"Sep",1990,"Victoria",8473,6884,-2322
"Sep",1990,"Queensland",6011,2596,6175
"Sep",1990,"South Australia",1998,1168,446
"Sep",1990,"Western Australia",3923,2951,267
"Sep",1990,"Tasmania",688,116,412
"Sep",1990,"Northern Territory",767,268,-332
"Sep",1990,"Australian Capital Territory",699,224,495
"Dec",1990,"New South Wales",12633,7053,-6389
"Dec",1990,"Victoria",8802,4374,-3208
"Dec",1990,"Queensland",5710,990,9002
"Dec",1990,"South Australia",2253,1016,287
"Dec",1990,"Western Australia",3638,1717,-471
"Dec",1990,"Tasmania",833,59,94
"Dec",1990,"Northern Territory",617,28,49
"Dec",1990,"Australian Capital Territory",891,-228,636
"Mar",1991,"New South Wales",11579,12878,-3372
"Mar",1991,"Victoria",9146,9336,-5335
"Mar",1991,"Queensland",6377,4082,8867
"Mar",1991,"South Australia",2545,1540,575
"Mar",1991,"Western Australia",4202,4218,-1111
"Mar",1991,"Tasmania",858,272,155
"Mar",1991,"Northern Territory",670,215,-537
"Mar",1991,"Australian Capital Territory",912,576,758
"Jun",1991,"New South Wales",12541,5916,-2304
"Jun",1991,"Victoria",8529,2919,-3988
"Jun",1991,"Queensland",6949,2075,5665
"Jun",1991,"South Australia",1971,895,237
"Jun",1991,"Western Australia",4401,1719,-476
"Jun",1991,"Tasmania",881,-39,155
"Jun",1991,"Northern Territory",789,110,-332
"Jun",1991,"Australian Capital Territory",961,-145,1043
"Sep",1991,"New South Wales",10526,11509,-2989
"Sep",1991,"Victoria",7932,6637,-4626
