"Date","Natural_Increase_NSW","Net_Overseas_Migration_NSW","Net_Interstate_Migration_NSW","Change_Over_Previous_Quarter_NSW","Natural_Increase_VIC","Net_Overseas_Migration_VIC","Net_Interstate_Migration_VIC","Change_Over_Previous_Quarter_VIC","Natural_Increase_QLD","Net_Overseas_Migration_QLD","Net_Interstate_Migration_QLD","Change_Over_Previous_Quarter_QLD","Natural_Increase_SA","Net_Overseas_Migration_SA","Net_Interstate_Migration_SA","Change_Over_Previous_Quarter_SA","Natural_Increase_WA","Net_Overseas_Migration_WA","Net_Interstate_Migration_WA","Change_Over_Previous_Quarter_WA","Natural_Increase_TAS","Net_Overseas_Migration_TAS","Net_Interstate_Migration_TAS","Change_Over_Previous_Quarter_TAS","Natural_Increase_NT","Net_Overseas_Migration_NT","Net_Interstate_Migration_NT","Change_Over_Previous_Quarter_NT","Natural_Increase_ACT","Net_Overseas_Migration_ACT","Net_Interstate_Migration_ACT","Change_Over_Previous_Quarter_ACT","Natural_Increase_AUS","Net_Overseas_Migration_AUS","Change_Over_Previous_Quarter_AUS"
"Jun-1981",11516,9281,-6330,NA,7302,5533,-3330,NA,6191,4630,8558,NA,2474,1301,-1675,NA,3579,3776,680,NA,962,194,-274,NA,733,400,1806,NA,847,-131,565,NA,33604,25575,NA
"Sep-1981",9559,13284,-7768,14566,7353,8237,-4897,10416,4920,4541,11740,22269,2155,2279,-1846,2466,3379,5101,2002,11228,927,268,-480,701,510,279,1264,2570,777,152,-15,1201,29580,34141,65417
"Dec-1981",9181,13295,-4528,17439,7191,8505,-4354,11065,4756,4514,10128,20466,2359,2692,-988,3941,3375,4375,441,8937,880,302,-810,358,664,416,935,2532,856,383,-824,702,29262,34482,65440
"Mar-1982",11081,12477,-3824,19225,8492,7606,-3393,12428,6331,4008,7005,18412,2374,1844,-602,3494,3639,4600,494,9479,1075,207,-106,1162,675,215,468,1875,842,419,-42,1506,34509,31376,67581
"Jun-1982",11097,10337,-3464,17461,7310,6796,-1785,12044,6081,4502,6580,18231,2294,1705,-1439,2438,3751,4081,621,9199,887,153,-626,400,529,273,-598,721,786,271,711,2055,32735,28118,62549
"Sep-1982",8270,9593,-5094,12266,5808,6164,-1840,9861,4827,4244,8184,18326,1886,1950,-722,2982,3330,4584,504,9197,844,185,-555,463,617,93,-47,1203,785,80,-430,733,26367,26893,55031
"Dec-1982",10933,6138,-4193,12375,7572,4394,-1739,9956,5350,1412,5730,13563,2197,1568,60,3693,3340,2362,394,6875,789,216,-328,666,531,22,174,1267,809,209,-98,1218,31521,16321,49613
"Mar-1983",12635,6483,-2809,15806,8082,5952,-1196,12567,6857,1876,3430,13234,2619,1783,140,4410,3685,2405,34,6903,1001,188,-487,691,676,244,285,1745,811,283,603,1995,36366,19214,57351
"Jun-1983",10994,3526,-5085,8932,7916,3164,-361,10448,6926,1089,3487,12573,2404,1116,194,3582,3961,1858,578,7176,973,22,156,1140,606,123,118,1387,812,-31,913,1992,34592,10867,47230
"Sep-1983",9047,5174,-2955,10785,7339,3664,-1221,9483,5906,1187,2932,11091,2261,1253,406,3778,3324,1607,444,6194,938,128,54,1104,488,432,569,2026,795,199,-229,1072,30098,13644,45533
"Dec-1983",10084,4901,-3333,11171,7226,3525,-1139,9313,5340,426,3080,9912,2677,1032,88,3655,3748,979,221,5767,831,271,105,1191,630,16,394,1577,894,120,584,1905,31430,11270,44491
"Mar-1984",11563,4748,-1565,14265,8542,3623,-155,11711,6391,391,2310,10158,2801,829,-185,3303,3449,862,-263,4867,968,131,-5,1078,744,87,-221,1147,779,346,84,1516,35237,11017,48045
"Jun-1984",10569,5875,-2414,13549,7489,3918,-825,10283,6450,1263,1637,10416,2580,855,244,3537,3390,820,330,5359,928,129,541,1582,670,297,-16,1488,816,10,503,1636,32892,13167,47850
"Sep-1984",8998,7967,-2640,13807,6524,5051,-1255,10057,5113,2196,3683,12117,2356,948,-601,2563,3627,1673,443,6580,813,201,106,1106,567,242,417,1780,789,193,-153,1147,28787,18471,49157
"Dec-1984",10004,7376,-1646,15216,7409,5112,-1167,11091,5097,1241,3639,11102,2215,1320,-673,2722,2657,1788,-67,5215,828,243,147,1204,663,140,2,1359,794,-52,-235,825,29667,17168,48734
"Mar-1985",12501,9033,-1219,19797,8459,6233,-2328,12101,5767,2081,3401,12374,2566,1118,-156,3388,3776,2362,370,7345,1067,187,14,1254,702,350,-237,1369,787,495,155,1755,35625,21859,59383
"Jun-1985",10401,6903,-3823,12963,7877,3762,-1049,10327,6297,2147,2197,11766,2560,943,-887,2476,4155,1971,1224,8187,870,138,510,1504,570,324,426,1874,808,22,1402,2550,33538,16210,51647
"Sep-1985",7934,9472,-3549,13742,6245,6503,-2754,9728,4500,2639,4012,12150,1693,1272,-659,2127,3073,2820,2104,8806,829,179,-284,720,723,386,466,2060,775,303,664,2057,25772,23574,51390
"Dec-1985",10244,11725,-3641,18213,7610,7440,-4159,10625,5234,2892,4607,13732,2476,1414,-197,3514,3268,3421,2032,9530,789,222,21,1028,679,225,371,1760,842,339,966,2462,31142,27678,60864
"Mar-1986",11629,10523,-2127,19910,7431,6925,-3458,10632,5512,2733,3861,13105,2548,1201,-91,3479,3774,3249,2522,10354,836,341,-26,1147,719,267,-543,928,689,511,-138,1377,33138,25750,60932
"Jun-1986",9623,9202,-3145,15149,7808,5552,-2830,9803,6533,3118,4020,14390,2513,1197,-470,2233,4177,3546,2770,11765,864,148,151,750,674,327,-787,1137,802,267,291,1625,32994,23357,56852
"Sep-1986",8403,12290,-2476,18402,7218,7321,-3195,11086,5345,3418,4157,11882,2089,1560,-1094,2290,3448,4211,2068,9394,904,208,-229,852,685,278,142,1150,723,306,627,1635,28815,29592,56691
"Dec-1986",12709,12826,-1397,24323,7530,8440,-3812,11900,5120,3250,4969,12301,2263,2005,-1344,2659,3530,4507,1281,8985,892,309,-260,910,576,185,201,1007,860,442,362,1643,33480,31964,63728
"Mar-1987",9839,14819,-2887,21956,8036,9715,-3921,13572,5556,3066,6292,13876,2566,1430,-794,2937,3442,4814,1584,9507,891,190,-688,362,822,315,15,1197,778,709,399,1865,31930,35058,65272
"Jun-1987",10350,12758,-2764,20529,7772,7360,-2177,12697,5754,3437,4300,12453,2133,1205,-745,2328,4251,3782,1643,9343,828,163,-331,629,619,244,-478,430,726,167,552,1424,32433,29116,59833
"Sep-1987",9509,15572,-2003,23163,7118,10088,-3371,13596,4640,4387,4950,13022,2031,1464,-48,3183,3706,4757,918,9046,728,291,-847,147,750,330,-185,937,773,545,586,1898,29255,37434,64992
"Dec-1987",14206,15170,-3141,26320,7032,8841,-4396,11238,4554,4459,7329,15387,1974,1446,-144,3012,3053,4200,1143,8061,706,206,-440,447,662,98,-904,-102,833,32,553,1412,33020,34452,65775
"Mar-1988",8547,18575,-4029,23178,8294,11808,-4823,15040,5691,6643,9097,20476,2252,1841,-459,3370,4546,6916,1094,12221,791,335,-349,752,614,356,-1093,-81,826,788,562,2170,31561,47262,77126
"Jun-1988",9821,12173,-4167,17912,8141,6515,-1833,12584,5573,4953,6344,15915,2232,1201,-589,2580,3835,4972,1119,9591,830,59,-288,576,729,243,-947,67,740,77,361,1172,31901,30193,60397
"Sep-1988",9053,21495,-7495,23022,7253,12862,-2076,17807,4843,7507,8992,20482,1787,2589,-333,3796,3545,8057,1590,12875,677,284,-194,757,560,316,-143,778,813,477,-341,958,28531,53587,80475
"Dec-1988",12550,16998,-7594,21923,7720,10603,-3167,14924,5651,5861,9828,20480,2194,1533,138,3618,3685,6079,1425,10872,934,184,-232,876,660,168,-141,732,940,326,-257,1018,34334,41752,74443
"Mar-1989",12245,16594,-11342,17466,8844,11191,-5125,14678,5872,5637,15327,25976,2581,1708,573,4615,3881,6773,461,10798,805,264,92,1151,545,382,-458,514,842,439,472,1762,35615,42988,76960
"Jun-1989",10588,7549,-11543,6563,7796,4758,-2136,10186,5966,2771,12915,20792,2102,835,-599,2091,4242,3256,1541,8722,775,24,537,1326,733,78,-727,129,706,-162,12,565,32908,19109,50374
"Sep-1989",5708,14092,-10427,9342,7117,8958,-2340,13373,4898,4024,11289,19408,1490,1506,-170,2642,3694,4972,1338,9752,725,159,681,1572,611,266,-406,495,777,211,35,1038,25020,34188,57622
"Dec-1989",12189,14459,-9163,17454,7866,9150,-1966,14688,4890,3434,9441,16962,2089,1749,136,3790,3691,3728,872,8039,818,309,446,1580,703,106,-410,423,832,258,644,1749,33078,33193,64685
"Mar-1990",10140,13847,-8884,15072,9598,10226,-3139,16323,6762,3037,11167,20163,2457,1540,267,4080,4365,4905,716,9734,934,238,481,1660,639,280,-502,441,954,577,-106,1440,35849,34650,68913
"Jun-1990",13609,9801,-7509,15870,9111,5679,-384,14044,7064,2647,6205,15113,2217,967,-485,2515,4023,3233,86,7090,875,54,1182,2118,752,266,148,1190,811,-31,757,1552,38462,22616,59492
